year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1959,99,99,100,94,93,92,93,95,95,97,96,99,
1960,-0.115,0.023,-0.447,-0.262,-0.179,-0.126,-0.114,-0.006,0.003,-0.031,-0.215,0.084,-0.115
1960,98,100,100,97,95,93,94,95,95,95,98,99,
1961,-0.052,0.091,-0.062,0.061,0.068,0.088,-0.04,-0.017,-0.03,-0.064,-0.031,-0.252,-0.02
1961,99,100,100,96,94,94,94,96,95,98,99,99,
1962,-0.057,0.012,0.019,-0.026,-0.182,-0.056,-0.109,-0.11,-0.075,-0.038,-0.021,-0.126,-0.064
1962,100,100,100,96,93,93,93,94,96,95,98,99,
1963,-0.122,0.04,-0.341,-0.179,-0.147,-0.067,0.06,0.146,0.122,0.064,0.045,-0.063,-0.037
1963,100,100,99,97,95,94,92,94,96,97,97,100,
1964,-0.195,-0.223,-0.383,-0.442,-0.374,-0.167,-0.201,-0.301,-0.405,-0.311,-0.299,-0.372,-0.306
1964,100,99,98,98,95,95,95,96,98,98,99,100,
1965,-0.162,-0.263,-0.26,-0.299,-0.192,-0.208,-0.267,-0.162,-0.245,-0.106,-0.144,-0.146,-0.204
1965,99,99,100,99,96,96,95,96,97,98,99,100,
1966,-0.283,-0.168,-0.171,-0.17,-0.218,-0.105,0.003,-0.102,-0.087,-0.238,-0.108,-0.141,-0.149
1966,100,100,100,97,97,95,94,95,96,98,99,100,
1967,-0.22,-0.328,-0.094,-0.132,0.057,-0.108,-0.068,-0.099,-0.125,-0.02,-0.12,-0.154,-0.118
1967,99,100,99,98,97,96,95,96,95,96,99,100,
1968,-0.325,-0.268,-0.004,-0.18,-0.226,-0.152,-0.195,-0.13,-0.226,0.008,-0.135,-0.191,-0.169
1968,100,99,100,99,97,97,96,96,96,97,99,100,
1969,-0.162,-0.197,-0.133,0.049,0.065,0.006,-0.109,-0.073,-0.013,0.001,0.023,0.167,-0.031
1969,100,99,98,99,98,96,98,97,98,98,99,100,
1970,0.014,0.064,-0.088,-0.079,-0.141,-0.137,-0.112,-0.199,-0.031,-0.06,-0.058,-0.193,-0.085
1970,100,100,100,99,97,96,96,96,96,98,99,100,
1971,-0.144,-0.273,-0.337,-0.233,-0.198,-0.255,-0.185,-0.181,-0.126,-0.156,-0.153,-0.231,-0.206
1971,99,100,99,99,96,97,97,96,97,99,99,100,
1972,-0.379,-0.278,-0.143,-0.128,-0.082,-0.032,-0.093,0.061,-0.052,-0.057,-0.052,0.109,-0.094
1972,100,100,100,99,97,96,96,97,98,99,99,100,
1973,0.101,0.159,0.115,0.199,0.108,0.106,0.016,-0.028,-0.035,0.011,-0.025,-0.128,0.05
1973,100,100,100,99,97,98,98,98,96,98,99,100,
1974,-0.282,-0.447,-0.237,-0.202,-0.127,-0.115,-0.136,0.023,-0.093,-0.115,-0.126,-0.214,-0.173
1974,100,100,100,98,97,97,96,96,96,98,98,100,
1975,-0.097,-0.021,-0.011,-0.052,0.053,-0.061,-0.105,-0.232,-0.14,-0.154,-0.264,-0.247,-0.111
1975,99,100,99,99,98,96,95,97,98,96,98,100,
1976,-0.17,-0.232,-0.337,-0.186,-0.359,-0.24,-0.173,-0.242,-0.151,-0.332,-0.139,-0.029,-0.216
1976,100,100,98,97,97,96,95,96,96,97,97,98,
1977,0.153,0.104,0.075,0.134,0.228,0.208,0.143,0.13,-0.002,-0.016,0.121,-0.04,0.103
1977,100,100,99,98,97,97,96,98,97,97,98,98,
1978,0.037,0.074,0.059,0.053,0.012,-0.055,0.016,-0.217,0.042,-0.06,0.092,0.01,0.005
1978,100,99,100,99,97,97,96,97,96,97,99,100,
1979,0.052,-0.18,0.067,0.077,-0.022,0.05,0.018,0.115,0.173,0.147,0.208,0.386,0.091
1979,100,100,100,100,100,99,99,99,99,99,99,100,
1980,0.253,0.361,0.217,0.234,0.246,0.132,0.206,0.164,0.124,0.097,0.206,0.114,0.196
1980,100,100,100,100,99,100,99,99,98,99,99,100,
1981,0.444,0.337,0.331,0.199,0.148,0.245,0.264,0.312,0.137,0.055,0.166,0.363,0.25
1981,100,100,100,99,99,99,97,99,98,99,100,100,
1982,-0.024,0.068,-0.137,0.02,0.091,-0.001,0.076,-0.046,0.017,0.041,0.029,0.277,0.034
1982,100,100,100,99,98,97,98,97,98,99,100,100,
